Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W40X362,W40X362,T,362,106,40.6,40  1/2 ,–,–,–,16.0,16      ,–,–,–,1.12,1  1/8 ,  9/16,2.01,2      ,–,–,–,3.19,3  1/4 ,1  3/4 ,–,–,–,–,–,3.99,–,–,30.5,–,–,28900,1640,1420,16.5,1380,270,173,3.60,–,–,–,109,513000,–,154,1240,–,–,289,808,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.33,38.6,125,–,141,97.2,113,34      ,7  1/2 ,–,W1000X539,W1000X539,539,68400,1030,1030,–,–,–,406,406,–,–,–,28.4,28.6,14.3,51.1,50.8,–,–,–,81.0,82.6,44.5,–,–,–,–,–,3.99,–,–,30.5,–,–,12000,26900,23300,419,574,4420,2830,91.4,–,–,–,45400,138000,–,99400,516,–,–,4740,13200,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,980,3180,–,3580,2470,2870,864,191,–
W,W40X324,W40X324,F,324,95.3,40.2,40  1/8 ,–,–,–,15.9,15  7/8 ,–,–,–,1.00,1      ,  1/2 ,1.81,1 13/16,–,–,–,2.99,3  1/16,1 11/16,–,–,–,–,–,4.40,–,–,34.2,–,–,25600,1460,1280,16.4,1220,239,153,3.58,–,–,–,79.4,448000,–,153,1100,–,–,259,720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.27,38.4,124,–,140,96.3,112,34      ,7  1/2 ,–,W1000X483,W1000X483,483,61500,1020,1020,–,–,–,404,403,–,–,–,25.4,25.4,12.7,46.0,46.0,–,–,–,75.9,77.8,42.9,–,–,–,–,–,4.40,–,–,34.2,–,–,10700,23900,21000,417,508,3920,2510,90.9,–,–,–,33000,120000,–,98700,458,–,–,4240,11800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,975,3150,–,3560,2450,2840,864,191,–
W,W40X297,W40X297,F,297,87.3,39.8,39  7/8 ,–,–,–,15.8,15  7/8 ,–,–,–,0.930, 15/16,  1/2 ,1.65,1  5/8 ,–,–,–,2.83,2 15/16,1 11/16,–,–,–,–,–,4.80,–,–,36.8,–,–,23200,1330,1170,16.3,1090,215,138,3.54,–,–,–,61.2,399000,–,151,982,–,–,234,652,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.22,38.2,123,–,139,95.4,111,34      ,7  1/2 ,–,W1000X443,W1000X443,443,56300,1010,1010,–,–,–,401,403,–,–,–,23.6,23.8,12.7,41.9,41.3,–,–,–,71.9,74.6,42.9,–,–,–,–,–,4.80,–,–,36.8,–,–,9660,21800,19200,414,454,3520,2260,89.9,–,–,–,25500,107000,–,97400,409,–,–,3830,10700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,970,3120,–,3530,2420,2820,864,191,–
W,W40X277,W40X277,F,277,81.5,39.7,39  3/4 ,–,–,–,15.8,15  7/8 ,–,–,–,0.830, 13/16,  7/16,1.58,1  9/16,–,–,–,2.76,2  7/8 ,1  5/8 ,–,–,–,–,–,5.03,–,–,41.2,–,–,21900,1250,1100,16.4,1040,204,132,3.58,–,–,–,51.5,379000,–,151,940,–,–,225,614,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.25,38.1,123,–,139,95.2,111,34      ,7  1/2 ,–,W1000X412,W1000X412,412,52600,1010,1010,–,–,–,401,403,–,–,–,21.1,20.6,11.1,40.1,39.7,–,–,–,70.1,73.0,41.3,–,–,–,–,–,5.03,–,–,41.2,–,–,9120,20500,18000,417,433,3340,2160,90.9,–,–,–,21400,102000,–,97400,391,–,–,3690,10100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,968,3120,–,3530,2420,2820,864,191,–
W,W40X249,W40X249,F,249,73.5,39.4,39  3/8 ,–,–,–,15.8,15  3/4 ,–,–,–,0.750,  3/4 ,  3/8 ,1.42,1  7/16,–,–,–,2.60,2 11/16,1  9/16,–,–,–,–,–,5.55,–,–,45.6,–,–,19600,1120,993,16.3,926,182,118,3.55,–,–,–,38.1,334000,–,150,841,–,–,203,551,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.21,38.0,122,–,138,94.6,110,34      ,7  1/2 ,–,W1000X371,W1000X371,371,47400,1000,1000,–,–,–,401,400,–,–,–,19.1,19.0,9.52,36.1,36.5,–,–,–,66.0,68.3,39.7,–,–,–,–,–,5.55,–,–,45.6,–,–,8160,18400,16300,414,385,2980,1930,90.2,–,–,–,15900,89700,–,96800,350,–,–,3330,9030,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,965,3100,–,3510,2400,2790,864,191,–
W,W40X215,W40X215,F,215,63.5,39.0,39      ,–,–,–,15.8,15  3/4 ,–,–,–,0.650,  5/8 ,  5/16,1.22,1  1/4 ,–,–,–,2.40,2  1/2 ,1  9/16,–,–,–,–,–,6.45,–,–,52.6,–,–,16700,964,859,16.2,803,156,101,3.54,–,–,–,24.8,284000,–,149,719,–,–,175,473,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.19,37.8,122,–,138,93.8,110,34      ,7  1/2 ,–,W1000X321,W1000X321,321,41000,991,991,–,–,–,401,400,–,–,–,16.5,15.9,7.94,31.0,31.8,–,–,–,61.0,63.5,39.7,–,–,–,–,–,6.45,–,–,52.6,–,–,6950,15800,14100,411,334,2560,1660,89.9,–,–,–,10300,76300,–,96100,299,–,–,2870,7750,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106,960,3100,–,3510,2380,2790,864,191,–
W,W40X199,W40X199,F,199,58.8,38.7,38  5/8 ,–,–,–,15.8,15  3/4 ,–,–,–,0.650,  5/8 ,  5/16,1.07,1  1/16,–,–,–,2.25,2  5/16,1  9/16,–,–,–,–,–,7.39,–,–,52.6,–,–,14900,869,770,16.0,695,137,88.2,3.45,–,–,–,18.3,246000,–,149,628,–,–,153,427,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.12,37.6,121,–,137,93.2,109,34      ,7  1/2 ,–,W1000X296,W1000X296,296,37900,983,981,–,–,–,401,400,–,–,–,16.5,15.9,7.94,27.2,27.0,–,–,–,57.2,58.7,39.7,–,–,–,–,–,7.39,–,–,52.6,–,–,6200,14200,12600,406,289,2250,1450,87.6,–,–,–,7620,66100,–,96100,261,–,–,2510,7000,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,955,3070,–,3480,2370,2770,864,191,–
W,W40X392,W40X392,T,392,116,41.6,41  5/8 ,–,–,–,12.4,12  3/8 ,–,–,–,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,–,–,–,3.70,3 13/16,1 15/16,–,–,–,–,–,2.45,–,–,24.1,–,–,29900,1710,1440,16.1,803,212,130,2.64,–,–,–,172,306000,–,121,946,–,–,270,848,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.30,39.1,116,–,128,95.6,108,34      ,7  1/2 ,–,W1000X584,W1000X584,584,74800,1060,1060,–,–,–,315,314,–,–,–,36.1,36.5,19.0,64.0,63.5,–,–,–,94.0,96.8,49.2,–,–,–,–,–,2.45,–,–,24.1,–,–,12400,28000,23600,409,334,3470,2130,67.1,–,–,–,71600,82200,–,78100,394,–,–,4420,13900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,83.8,993,2950,–,3250,2430,2740,864,191,–
W,W40X331,W40X331,T,331,97.7,40.8,40  3/4 ,–,–,–,12.2,12  1/8 ,–,–,–,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,–,–,–,3.31,3  3/8 ,1 13/16,–,–,–,–,–,2.86,–,–,28.0,–,–,24700,1430,1210,15.9,644,172,106,2.57,–,–,–,105,241000,–,118,766,–,–,226,706,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.21,38.7,114,–,126,93.8,106,34      ,7  1/2 ,–,W1000X494,W1000X494,494,63000,1040,1040,–,–,–,310,308,–,–,–,31.0,31.8,15.9,54.1,54.0,–,–,–,84.1,85.7,46.0,–,–,–,–,–,2.86,–,–,28.0,–,–,10300,23400,19800,404,268,2820,1740,65.3,–,–,–,43700,64700,–,76100,319,–,–,3700,11600,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,983,2900,–,3200,2380,2690,864,191,–
W,W40X327,W40X327,T,327,95.9,40.8,40  3/4 ,–,–,–,12.1,12  1/8 ,–,–,–,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,–,–,–,3.31,3  3/8 ,1 13/16,–,–,–,–,–,2.85,–,–,29.0,–,–,24500,1410,1200,16.0,640,170,105,2.58,–,–,–,103,239000,–,117,754,–,–,225,695,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.21,38.7,114,–,126,93.7,106,34      ,7  1/2 ,–,W1000X486,W1000X486,486,61900,1040,1040,–,–,–,307,308,–,–,–,30.0,30.2,15.9,54.1,54.0,–,–,–,84.1,85.7,46.0,–,–,–,–,–,2.85,–,–,29.0,–,–,10200,23100,19700,406,266,2790,1720,65.5,–,–,–,42900,64200,–,75500,314,–,–,3690,11400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,983,2900,–,3200,2380,2690,864,191,–
