Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W33X201,W33X201,F,201,59.1,33.7,33  5/8 ,–,–,–,15.7,15  3/4 ,–,–,–,0.715, 11/16,  3/8 ,1.15,1  1/8 ,–,–,–,1.94,2  7/16,1  9/16,–,–,–,–,–,6.85,–,–,41.7,–,–,11600,773,686,14.0,749,147,95.2,3.56,–,–,–,20.8,198000,–,128,577,–,–,140,382,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.21,32.6,111,–,127,83.1,98.8,28  7/8 ,5  1/2 ,–,W840X299,W840X299,299,38100,856,854,–,–,–,399,400,–,–,–,18.2,17.5,9.52,29.2,28.6,–,–,–,49.3,61.9,39.7,–,–,–,–,–,6.85,–,–,41.7,–,–,4830,12700,11200,356,312,2410,1560,90.4,–,–,–,8660,53200,–,82600,240,–,–,2290,6260,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,828,2820,–,3230,2110,2510,733,140,–
W,W33X169,W33X169,F,169,49.5,33.8,33  7/8 ,–,–,–,11.5,11  1/2 ,–,–,–,0.670, 11/16,  3/8 ,1.22,1  1/4 ,–,–,–,1.92,2  7/16,1  9/16,–,–,–,–,–,4.71,–,–,44.7,–,–,9290,629,549,13.7,310,84.4,53.9,2.50,–,–,–,17.7,82400,–,93.7,329,–,–,108,311,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.03,32.6,99.5,–,111,79.1,90.6,28  7/8 ,5  1/2 ,–,W840X251,W840X251,251,31900,859,860,–,–,–,292,292,–,–,–,17.0,17.5,9.52,31.0,31.8,–,–,–,48.8,61.9,39.7,–,–,–,–,–,4.71,–,–,44.7,–,–,3870,10300,9000,348,129,1380,883,63.5,–,–,–,7370,22100,–,60500,137,–,–,1770,5100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.0,828,2530,–,2820,2010,2300,733,140,–
W,W33X152,W33X152,F,152,44.9,33.5,33  1/2 ,–,–,–,11.6,11  5/8 ,–,–,–,0.635,  5/8 ,  5/16,1.06,1  1/16,–,–,–,1.76,2  5/16,1  1/2 ,–,–,–,–,–,5.48,–,–,47.2,–,–,8160,559,487,13.5,273,73.9,47.2,2.47,–,–,–,12.4,71700,–,94.1,289,–,–,94.3,278,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.01,32.4,99.4,–,111,78.6,90.2,28  7/8 ,5  1/2 ,–,W840X226,W840X226,226,29000,851,851,–,–,–,295,295,–,–,–,16.1,15.9,7.94,26.9,27.0,–,–,–,44.7,58.7,38.1,–,–,–,–,–,5.48,–,–,47.2,–,–,3400,9160,7980,343,114,1210,773,62.7,–,–,–,5160,19300,–,60700,120,–,–,1550,4560,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,76.5,823,2520,–,2820,2000,2290,733,140,–
W,W33X141,W33X141,F,141,41.5,33.3,33  1/4 ,–,–,–,11.5,11  1/2 ,–,–,–,0.605,  5/8 ,  5/16,0.960, 15/16,–,–,–,1.66,2  3/16,1  1/2 ,–,–,–,–,–,6.01,–,–,49.6,–,–,7450,514,448,13.4,246,66.9,42.7,2.43,–,–,–,9.70,64400,–,93.0,257,–,–,84.6,253,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.98,32.3,98.5,–,110,78.1,89.6,28  7/8 ,5  1/2 ,–,W840X210,W840X210,210,26800,846,845,–,–,–,292,292,–,–,–,15.4,15.9,7.94,24.4,23.8,–,–,–,42.2,55.6,38.1,–,–,–,–,–,6.01,–,–,49.6,–,–,3100,8420,7340,340,102,1100,700,61.7,–,–,–,4040,17300,–,60000,107,–,–,1390,4150,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.7,820,2500,–,2790,1980,2280,733,140,–
W,W33X130,W33X130,F,130,38.3,33.1,33  1/8 ,–,–,–,11.5,11  1/2 ,–,–,–,0.580,  9/16,  5/16,0.855,  7/8 ,–,–,–,1.56,2  1/8 ,1  1/2 ,–,–,–,–,–,6.73,–,–,51.7,–,–,6710,467,406,13.2,218,59.5,37.9,2.39,–,–,–,7.37,56600,–,92.7,228,–,–,75.3,230,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.94,32.2,98.5,–,110,77.7,89.2,28  7/8 ,5  1/2 ,–,W840X193,W840X193,193,24700,841,841,–,–,–,292,292,–,–,–,14.7,14.3,7.94,21.7,22.2,–,–,–,39.6,54.0,38.1,–,–,–,–,–,6.73,–,–,51.7,–,–,2790,7650,6650,335,90.7,975,621,60.7,–,–,–,3070,15200,–,59800,94.9,–,–,1230,3770,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,74.7,818,2500,–,2790,1970,2270,733,140,–
W,W33X118,W33X118,F,118,34.7,32.9,32  7/8 ,–,–,–,11.5,11  1/2 ,–,–,–,0.550,  9/16,  5/16,0.740,  3/4 ,–,–,–,1.44,2      ,1  1/2 ,–,–,–,–,–,7.76,–,–,54.5,–,–,5900,415,359,13.0,187,51.3,32.6,2.32,–,–,–,5.30,48300,–,92.5,197,–,–,65.1,205,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.89,32.2,97.5,–,109,77.3,88.8,28  7/8 ,5  1/2 ,–,W840X176,W840X176,176,22400,836,835,–,–,–,292,292,–,–,–,14.0,14.3,7.94,18.8,19.0,–,–,–,36.6,50.8,38.1,–,–,–,–,–,7.76,–,–,54.5,–,–,2460,6800,5880,330,77.8,841,534,58.9,–,–,–,2210,13000,–,59700,82.0,–,–,1070,3360,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,73.4,818,2480,–,2770,1960,2260,733,140,–
W,W30X391,W30X391,T,391,115,33.2,33  1/4 ,–,–,–,15.6,15  5/8 ,–,–,–,1.36,1  3/8 , 11/16,2.44,2  7/16,–,–,–,3.23,3  3/4 ,1  7/8 ,–,–,–,–,–,3.19,–,–,19.7,–,–,20700,1450,1250,13.4,1550,310,198,3.67,–,–,–,173,366000,–,120,1140,–,–,267,722,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.37,30.8,109,–,125,82.0,97.6,25  3/4 ,5  1/2 ,–,W760X582,W760X582,582,74200,843,845,–,–,–,396,397,–,–,–,34.5,34.9,17.5,62.0,61.9,–,–,–,82.0,95.3,47.6,–,–,–,–,–,3.19,–,–,19.7,–,–,8620,23800,20500,340,645,5080,3240,93.2,–,–,–,72000,98300,–,77400,475,–,–,4380,11800,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111,782,2770,–,3180,2080,2480,654,140,–
W,W30X357,W30X357,T,357,105,32.8,32  3/4 ,–,–,–,15.5,15  1/2 ,–,–,–,1.24,1  1/4 ,  5/8 ,2.24,2  1/4 ,–,–,–,3.03,3  1/2 ,1 13/16,–,–,–,–,–,3.45,–,–,21.6,–,–,18700,1320,1140,13.3,1390,279,179,3.64,–,–,–,134,324000,–,118,1030,–,–,244,655,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.31,30.6,108,–,124,81.1,96.6,25  3/4 ,5  1/2 ,–,W760X531,W760X531,531,67700,833,832,–,–,–,394,394,–,–,–,31.5,31.8,15.9,56.9,57.2,–,–,–,77.0,88.9,46.0,–,–,–,–,–,3.45,–,–,21.6,–,–,7780,21600,18700,338,579,4570,2930,92.5,–,–,–,55800,87000,–,76100,429,–,–,4000,10700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109,777,2740,–,3150,2060,2450,654,140,–
W,W30X326,W30X326,T,326,95.9,32.4,32  3/8 ,–,–,–,15.4,15  3/8 ,–,–,–,1.14,1  1/8 ,  9/16,2.05,2  1/16,–,–,–,2.84,3  5/16,1  3/4 ,–,–,–,–,–,3.75,–,–,23.4,–,–,16800,1190,1040,13.2,1240,252,162,3.60,–,–,–,103,287000,–,117,922,–,–,222,593,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.26,30.4,108,–,123,80.2,95.6,25  3/4 ,5  1/2 ,–,W760X484,W760X484,484,61900,823,822,–,–,–,391,391,–,–,–,29.0,28.6,14.3,52.1,52.4,–,–,–,72.1,84.1,44.5,–,–,–,–,–,3.75,–,–,23.4,–,–,6990,19500,17000,335,516,4130,2650,91.4,–,–,–,42900,77100,–,75500,384,–,–,3640,9720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,772,2740,–,3120,2040,2430,654,140,–
W,W30X292,W30X292,F,292,86.0,32.0,32      ,–,–,–,15.3,15  1/4 ,–,–,–,1.02,1      ,  1/2 ,1.85,1  7/8 ,–,–,–,2.64,3  1/8 ,1  3/4 ,–,–,–,–,–,4.12,–,–,26.2,–,–,14900,1060,930,13.2,1100,223,144,3.58,–,–,–,75.2,250000,–,115,816,–,–,199,529,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.22,30.2,107,–,122,79.3,94.6,25  3/4 ,5  1/2 ,–,W760X434,W760X434,434,55500,813,813,–,–,–,389,387,–,–,–,25.9,25.4,12.7,47.0,47.6,–,–,–,67.1,79.4,44.5,–,–,–,–,–,4.12,–,–,26.2,–,–,6200,17400,15200,335,458,3650,2360,90.9,–,–,–,31300,67100,–,74200,340,–,–,3260,8670,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,767,2720,–,3100,2010,2400,654,140,–
W,W30X261,W30X261,F,261,77.0,31.6,31  5/8 ,–,–,–,15.2,15  1/8 ,–,–,–,0.930, 15/16,  1/2 ,1.65,1  5/8 ,–,–,–,2.44,2 15/16,1 11/16,–,–,–,–,–,4.59,–,–,28.7,–,–,13100,943,829,13.1,959,196,127,3.53,–,–,–,54.1,215000,–,114,714,–,–,176,469,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.16,30.0,106,–,121,78.4,93.6,25  3/4 ,5  1/2 ,–,W760X389,W760X389,389,49700,803,803,–,–,–,386,384,–,–,–,23.6,23.8,12.7,41.9,41.3,–,–,–,62.0,74.6,42.9,–,–,–,–,–,4.59,–,–,28.7,–,–,5450,15500,13600,333,399,3210,2080,89.7,–,–,–,22500,57700,–,73500,297,–,–,2880,7690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106,762,2690,–,3070,1990,2380,654,140,–
W,W30X235,W30X235,F,235,69.3,31.3,31  1/4 ,–,–,–,15.1,15      ,–,–,–,0.830, 13/16,  7/16,1.50,1  1/2 ,–,–,–,2.29,2  3/4 ,1  5/8 ,–,–,–,–,–,5.02,–,–,32.2,–,–,11700,847,748,13.0,855,175,114,3.51,–,–,–,40.3,190000,–,112,637,–,–,159,421,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.13,29.8,105,–,120,77.7,92.8,25  3/4 ,5  1/2 ,–,W760X350,W760X350,350,44700,795,794,–,–,–,384,381,–,–,–,21.1,20.6,11.1,38.1,38.1,–,–,–,58.2,69.9,41.3,–,–,–,–,–,5.02,–,–,32.2,–,–,4870,13900,12300,330,356,2870,1870,89.2,–,–,–,16800,51000,–,72300,265,–,–,2610,6900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,757,2670,–,3050,1970,2360,654,140,–
W,W30X211,W30X211,F,211,62.3,30.9,31      ,–,–,–,15.1,15  1/8 ,–,–,–,0.775,  3/4 ,  3/8 ,1.32,1  5/16,–,–,–,2.10,2  9/16,1  5/8 ,–,–,–,–,–,5.74,–,–,34.5,–,–,10300,751,665,12.9,757,155,100,3.49,–,–,–,28.4,166000,–,112,556,–,–,140,372,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.11,29.6,104,–,119,76.9,92.0,25  3/4 ,5  1/2 ,–,W760X314,W760X314,314,40200,785,787,–,–,–,384,384,–,–,–,19.7,19.0,9.52,33.5,33.3,–,–,–,53.3,65.1,41.3,–,–,–,–,–,5.74,–,–,34.5,–,–,4290,12300,10900,328,315,2540,1640,88.6,–,–,–,11800,44600,–,72300,231,–,–,2290,6100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104,752,2640,–,3020,1950,2340,654,140,–
W,W30X191,W30X191,F,191,56.1,30.7,30  5/8 ,–,–,–,15.0,15      ,–,–,–,0.710, 11/16,  3/8 ,1.19,1  3/16,–,–,–,1.97,2  1/2 ,1  9/16,–,–,–,–,–,6.35,–,–,37.7,–,–,9200,675,600,12.8,673,138,89.5,3.46,–,–,–,21.0,146000,–,111,494,–,–,125,335,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.06,29.5,104,–,119,76.4,91.4,25  3/4 ,5  1/2 ,–,W760X284,W760X284,284,36200,780,778,–,–,–,381,381,–,–,–,18.0,17.5,9.52,30.2,30.2,–,–,–,50.0,63.5,39.7,–,–,–,–,–,6.35,–,–,37.7,–,–,3830,11100,9830,325,280,2260,1470,87.9,–,–,–,8740,39200,–,71600,206,–,–,2050,5490,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103,749,2640,–,3020,1940,2320,654,140,–
W,W30X173,W30X173,F,173,50.9,30.4,30  1/2 ,–,–,–,15.0,15      ,–,–,–,0.655,  5/8 ,  5/16,1.07,1  1/16,–,–,–,1.85,2  5/16,1  9/16,–,–,–,–,–,7.04,–,–,40.8,–,–,8230,607,541,12.7,598,123,79.8,3.42,–,–,–,15.6,129000,–,110,441,–,–,113,301,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.03,29.3,103,–,118,75.8,90.8,25  3/4 ,5  1/2 ,–,W760X257,W760X257,257,32800,772,775,–,–,–,381,381,–,–,–,16.6,15.9,7.94,27.2,27.0,–,–,–,47.0,58.7,39.7,–,–,–,–,–,7.04,–,–,40.8,–,–,3430,9950,8870,323,249,2020,1310,86.9,–,–,–,6490,34600,–,71000,184,–,–,1850,4930,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,744,2620,–,3000,1930,2310,654,140,–
W,W30X148,W30X148,F,148,43.6,30.7,30  5/8 ,–,–,–,10.5,10  1/2 ,–,–,–,0.650,  5/8 ,  5/16,1.18,1  3/16,–,–,–,1.83,2  1/2 ,1  9/16,–,–,–,–,–,4.44,–,–,41.6,–,–,6680,500,436,12.4,227,68.0,43.3,2.28,–,–,–,14.5,49400,–,77.5,240,–,–,85.8,248,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.77,29.5,90.5,–,101,71.9,82.4,25  3/4 ,5  1/2 ,–,W760X220,W760X220,220,28100,780,778,–,–,–,267,267,–,–,–,16.5,15.9,7.94,30.0,30.2,–,–,–,46.5,63.5,39.7,–,–,–,–,–,4.44,–,–,41.6,–,–,2780,8190,7140,315,94.5,1110,710,57.9,–,–,–,6040,13300,–,50000,99.9,–,–,1410,4060,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,70.4,749,2300,–,2570,1830,2090,654,140,–
W,W30X132,W30X132,F,132,38.8,30.3,30  1/4 ,–,–,–,10.5,10  1/2 ,–,–,–,0.615,  5/8 ,  5/16,1.00,1      ,–,–,–,1.65,2  1/4 ,1  1/2 ,–,–,–,–,–,5.27,–,–,43.9,–,–,5770,437,380,12.2,196,58.4,37.2,2.25,–,–,–,9.72,42100,–,76.9,202,–,–,72.4,215,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.75,29.3,89.5,–,100,71.1,81.6,25  3/4 ,5  1/2 ,–,W760X196,W760X196,196,25000,770,768,–,–,–,267,267,–,–,–,15.6,15.9,7.94,25.4,25.4,–,–,–,41.9,57.2,38.1,–,–,–,–,–,5.27,–,–,43.9,–,–,2400,7160,6230,310,81.6,957,610,57.2,–,–,–,4050,11300,–,49600,84.1,–,–,1190,3520,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,69.8,744,2270,–,2540,1810,2070,654,140,–
W,W30X124,W30X124,F,124,36.5,30.2,30  1/8 ,–,–,–,10.5,10  1/2 ,–,–,–,0.585,  9/16,  5/16,0.930, 15/16,–,–,–,1.58,2  1/4 ,1  1/2 ,–,–,–,–,–,5.65,–,–,46.2,–,–,5360,408,355,12.1,181,54.0,34.4,2.23,–,–,–,7.99,38600,–,76.8,188,–,–,67.5,202,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.73,29.3,89.5,–,100,70.9,81.4,25  3/4 ,5  1/2 ,–,W760X185,W760X185,185,23500,767,765,–,–,–,267,267,–,–,–,14.9,14.3,7.94,23.6,23.8,–,–,–,40.1,57.2,38.1,–,–,–,–,–,5.65,–,–,46.2,–,–,2230,6690,5820,307,75.3,885,564,56.6,–,–,–,3330,10400,–,49500,78.3,–,–,1110,3310,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,69.3,744,2270,–,2540,1800,2070,654,140,–
W,W30X116,W30X116,F,116,34.2,30.0,30      ,–,–,–,10.5,10  1/2 ,–,–,–,0.565,  9/16,  5/16,0.850,  7/8 ,–,–,–,1.50,2  1/8 ,1  1/2 ,–,–,–,–,–,6.17,–,–,47.8,–,–,4930,378,329,12.0,164,49.2,31.3,2.19,–,–,–,6.43,34900,–,76.5,171,–,–,61.5,187,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.70,29.2,89.3,–,100,70.5,81.0,25  3/4 ,5  1/2 ,–,W760X173,W760X173,173,22100,762,762,–,–,–,267,267,–,–,–,14.4,14.3,7.94,21.6,22.2,–,–,–,38.1,54.0,38.1,–,–,–,–,–,6.17,–,–,47.8,–,–,2050,6190,5390,305,68.3,806,513,55.6,–,–,–,2680,9370,–,49400,71.2,–,–,1010,3060,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,68.6,742,2270,–,2530,1790,2060,654,140,–
W,W30X108,W30X108,F,108,31.7,29.8,29  7/8 ,–,–,–,10.5,10  1/2 ,–,–,–,0.545,  9/16,  5/16,0.760,  3/4 ,–,–,–,1.41,2      ,1  1/2 ,–,–,–,–,–,6.89,–,–,49.6,–,–,4470,346,299,11.9,146,43.9,27.9,2.15,–,–,–,4.99,30900,–,76.2,152,–,–,54.9,170,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.67,29.0,88.9,–,99.4,70.1,80.6,25  3/4 ,5  1/2 ,–,W760X161,W760X161,161,20500,757,759,–,–,–,267,267,–,–,–,13.8,14.3,7.94,19.3,19.0,–,–,–,35.8,50.8,38.1,–,–,–,–,–,6.89,–,–,49.6,–,–,1860,5670,4900,302,60.8,719,457,54.6,–,–,–,2080,8300,–,49200,63.3,–,–,900,2790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,67.8,737,2260,–,2520,1780,2050,654,140,–
W,W30X99,W30X99,F,99.0,29.0,29.7,29  5/8 ,–,–,–,10.5,10  1/2 ,–,–,–,0.520,  1/2 ,  1/4 ,0.670, 11/16,–,–,–,1.32,2      ,1  1/2 ,–,–,–,–,–,7.80,–,–,51.9,–,–,3990,312,269,11.7,128,38.6,24.5,2.10,–,–,–,3.77,26800,–,76.2,134,–,–,48.5,154,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.62,29.0,88.7,–,99.2,69.9,80.4,25  3/4 ,5  1/2 ,–,W760X147,W760X147,147,18700,754,752,–,–,–,267,267,–,–,–,13.2,12.7,6.35,17.0,17.5,–,–,–,33.5,50.8,38.1,–,–,–,–,–,7.80,–,–,51.9,–,–,1660,5110,4410,297,53.3,633,401,53.3,–,–,–,1570,7200,–,49200,55.8,–,–,795,2520,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66.5,737,2250,–,2520,1780,2040,654,140,–
W,W30X90,W30X90,F,90.0,26.3,29.5,29  1/2 ,–,–,–,10.4,10  3/8 ,–,–,–,0.470,  1/2 ,  1/4 ,0.610,  5/8 ,–,–,–,1.26,1  7/8 ,1  7/16,–,–,–,–,–,8.52,–,–,57.5,–,–,3610,283,245,11.7,115,34.7,22.1,2.09,–,–,–,2.84,24000,–,75.1,119,–,–,43.7,139,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.60,28.9,88.1,–,98.5,69.4,79.8,25  3/4 ,5  1/2 ,–,W760X134,W760X134,134,17000,749,749,–,–,–,264,264,–,–,–,11.9,12.7,6.35,15.5,15.9,–,–,–,32.0,47.6,36.5,–,–,–,–,–,8.52,–,–,57.5,–,–,1500,4640,4010,297,47.9,569,362,53.1,–,–,–,1180,6440,–,48500,49.5,–,–,716,2280,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66.0,734,2240,–,2500,1760,2030,654,140,–
W,W27X539,W27X539,T,539,159,32.5,32  1/2 ,–,–,–,15.3,15  1/4 ,–,–,–,1.97,2      ,1      ,3.54,3  9/16,–,–,–,4.33,4  7/16,1 13/16,–,–,–,–,–,2.15,–,–,12.1,–,–,25600,1890,1570,12.7,2110,437,277,3.65,–,–,–,496,443000,–,111,1500,–,–,342,943,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.41,29.0,106,–,121,80.3,95.6,23      ,5  1/2 ,–,W690X802,W690X802,802,103000,826,826,–,–,–,389,387,–,–,–,50.0,50.8,25.4,89.9,90.5,–,–,–,110,113,46.0,–,–,–,–,–,2.15,–,–,12.1,–,–,10700,31000,25700,323,878,7160,4540,92.7,–,–,–,206000,119000,–,71600,624,–,–,5600,15500,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112,737,2690,–,3070,2040,2430,584,140,–
W,W27X368,W27X368,T,368,109,30.4,30  3/8 ,–,–,–,14.7,14  5/8 ,–,–,–,1.38,1  3/8 , 11/16,2.48,2  1/2 ,–,–,–,3.27,3 11/16,1  7/8 ,–,–,–,–,–,2.96,–,–,17.3,–,–,16200,1240,1060,12.2,1310,279,179,3.48,–,–,–,170,255000,–,103,935,–,–,231,621,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.15,27.9,100.0,–,115,75.5,90.2,23      ,5  1/2 ,–,W690X548,W690X548,548,70300,772,772,–,–,–,373,371,–,–,–,35.1,34.9,17.5,63.0,63.5,–,–,–,83.1,93.7,47.6,–,–,–,–,–,2.96,–,–,17.3,–,–,6740,20300,17400,310,545,4570,2930,88.4,–,–,–,70800,68500,–,66500,389,–,–,3790,10200,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,709,2540,–,2920,1920,2290,584,140,–
W,W27X336,W27X336,T,336,99.2,30.0,30      ,–,–,–,14.6,14  1/2 ,–,–,–,1.26,1  1/4 ,  5/8 ,2.28,2  1/4 ,–,–,–,3.07,3  1/2 ,1 13/16,–,–,–,–,–,3.19,–,–,18.9,–,–,14600,1130,972,12.1,1180,252,162,3.45,–,–,–,131,226000,–,101,842,–,–,211,563,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.10,27.7,100.0,–,115,74.6,89.2,23      ,5  1/2 ,–,W690X500,W690X500,500,64000,762,762,–,–,–,371,368,–,–,–,32.0,31.8,15.9,57.9,57.2,–,–,–,78.0,88.9,46.0,–,–,–,–,–,3.19,–,–,18.9,–,–,6080,18500,15900,307,491,4130,2650,87.6,–,–,–,54500,60700,–,65200,350,–,–,3460,9230,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104,704,2540,–,2920,1890,2270,584,140,–
W,W27X307,W27X307,T,307,90.2,29.6,29  5/8 ,–,–,–,14.4,14  1/2 ,–,–,–,1.16,1  3/16,  5/8 ,2.09,2  1/16,–,–,–,2.88,3  5/16,1 13/16,–,–,–,–,–,3.46,–,–,20.6,–,–,13100,1030,887,12.0,1050,227,146,3.41,–,–,–,101,199000,–,99.0,745,–,–,190,508,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.04,27.5,98.6,–,113,73.6,88.0,23      ,5  1/2 ,–,W690X457,W690X457,457,58200,752,752,–,–,–,366,368,–,–,–,29.5,30.2,15.9,53.1,52.4,–,–,–,73.2,84.1,46.0,–,–,–,–,–,3.46,–,–,20.6,–,–,5450,16900,14500,305,437,3720,2390,86.6,–,–,–,42000,53400,–,63900,310,–,–,3110,8320,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103,698,2500,–,2870,1870,2240,584,140,–
W,W27X281,W27X281,F,281,83.1,29.3,29  1/4 ,–,–,–,14.4,14  3/8 ,–,–,–,1.06,1  1/16,  9/16,1.93,1 15/16,–,–,–,2.72,3  1/8 ,1  3/4 ,–,–,–,–,–,3.72,–,–,22.5,–,–,11900,936,814,12.0,953,206,133,3.39,–,–,–,79.5,178000,–,98.5,685,–,–,176,466,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.00,27.4,98.6,–,113,73.0,87.4,23      ,5  1/2 ,–,W690X419,W690X419,419,53600,744,743,–,–,–,366,365,–,–,–,26.9,27.0,14.3,49.0,49.2,–,–,–,69.1,79.4,44.5,–,–,–,–,–,3.72,–,–,22.5,–,–,4950,15300,13300,305,397,3380,2180,86.1,–,–,–,33100,47800,–,63500,285,–,–,2880,7640,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102,696,2500,–,2870,1850,2220,584,140,–
W,W27X258,W27X258,F,258,76.1,29.0,29      ,–,–,–,14.3,14  1/4 ,–,–,–,0.980,1      ,  1/2 ,1.77,1  3/4 ,–,–,–,2.56,3      ,1 11/16,–,–,–,–,–,4.03,–,–,24.4,–,–,10800,852,745,11.9,859,187,120,3.36,–,–,–,61.6,159000,–,97.3,616,–,–,160,424,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.96,27.2,97.7,–,112,72.3,86.6,23      ,5  1/2 ,–,W690X384,W690X384,384,49100,737,737,–,–,–,363,362,–,–,–,24.9,25.4,12.7,45.0,44.4,–,–,–,65.0,76.2,42.9,–,–,–,–,–,4.03,–,–,24.4,–,–,4500,14000,12200,302,358,3060,1970,85.3,–,–,–,25600,42700,–,62800,256,–,–,2620,6950,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,101,691,2480,–,2840,1840,2200,584,140,–
